Date,Match No,Home Team,,Away Team,,Session,Pitch
Mon-09-Jan,US7,Dyslexia Untied,,Soccer Lads,,1,Centre
Mon-09-Jan,US8,They think it's Moldova,,Gabes' Pumas,,1,Jeremy Bentham
Mon-09-Jan,US13,Inter MeVan,,Hock1 Legends,,2,Centre
Mon-09-Jan,US14,Bocat Juniors,,Tea and Busquets,,2,Jeremy Bentham
Mon-09-Jan,MX1,Romania,,Keepy Uppies With The Min Kyoo Kim Kardashians,,3,Centre
Mon-09-Jan,MX2,Game of Throw-ins,,Kripton,,3,Jeremy Bentham
Tue-10-Jan,US5,Mr. Hartley's Barmy Army,,My Imaginary Friends,,1,Centre
Tue-10-Jan,US6,Below Average FC,,"dunno yet, can we decide later ",,1,Jeremy Bentham
Tue-10-Jan,US17,Inter MeVan,,Tea and Busquets,,2,Centre
Tue-10-Jan,US18,Hock1 Legends,,Bocat Juniors,,2,Jeremy Bentham
Tue-10-Jan,US19,Tottenham Chutzpah,,Inter MeVan,,3,Centre
Tue-10-Jan,US20,Los Brownies,,Hock1 Legends,,3,Jeremy Bentham
Wed-11-Jan,LS1,Bayern Neverlusen,,Medi Oliver,,1,Centre
Wed-11-Jan,LS2,Heskeys,,team1,,1,Jeremy Bentham
Wed-11-Jan,MS1,big head and co.,,Obi-Wan Kenobi-Nil,,2,Centre
Wed-11-Jan,MS2,Pitches Love Me,,Swag Boys,,2,Jeremy Bentham
Wed-11-Jan,MS7,Bantchester United,,Teenage Mutant Ninja Skrtels,,3,Centre
Wed-11-Jan,MS8,50 Shades of O'Shea,,Balotellitubbies,,3,Jeremy Bentham
Thu-12-Jan,LS9,Fire Breathing Rubber Duckies,,Ball of Duty,,1,Centre
Thu-12-Jan,LS10,Jonny Knoxville,,It's Just a Chicken Nugget,,1,Jeremy Bentham
Thu-12-Jan,MS11,Bantchester United,,Balotellitubbies,,2,Centre
Thu-12-Jan,MS12,Teenage Mutant Ninja Skrtels,,50 Shades of O'Shea,,2,Jeremy Bentham
Thu-12-Jan,US1,Mr. Hartley's Barmy Army,,Below Average FC,,3,Centre
Thu-12-Jan,US2,"dunno yet, can we decide later ",,My Imaginary Friends,,3,Jeremy Bentham
Fri-13-Jan,LS5,Bayern Neverlusen,,team1,,1,Centre
Fri-13-Jan,LS6,Medi Oliver,,Heskeys,,1,Jeremy Bentham
Fri-13-Jan,LS7,Fire Breathing Rubber Duckies,,Jonny Knoxville,,2,Centre
Fri-13-Jan,LS8,Ball of Duty,,It's Just a Chicken Nugget,,2,Jeremy Bentham
Fri-13-Jan,MS5,big head and co.,,Swag Boys,,3,Centre
Fri-13-Jan,MS6,Obi-Wan Kenobi-Nil,,Pitches Love Me,,3,Jeremy Bentham
Mon-16-Jan,US9,Dyslexia Untied,,They think it's Moldova,,1,Centre
Mon-16-Jan,US10,Soccer Lads,,Gabes' Pumas,,1,Jeremy Bentham
Mon-16-Jan,US15,Inter MeVan,,Bocat Juniors,,2,Centre
Mon-16-Jan,US16,Hock1 Legends,,Tea and Busquets,,2,Jeremy Bentham
Mon-16-Jan,MX3,Romania,,Game of Throw-ins,,3,Centre
Mon-16-Jan,MX4,Keepy Uppies With The Min Kyoo Kim Kardashians,,Kripton,,3,Jeremy Bentham
Tue-17-Jan,US21,Tottenham Chutzpah,,Los Brownies,,1,Centre
Tue-17-Jan,US22,Inter MeVan,,Hock1 Legends,,1,Jeremy Bentham
Tue-17-Jan,US23,Tottenham Chutzpah,,Hock1 Legends,,2,Centre
Tue-17-Jan,US24,Inter MeVan,,Los Brownies,,2,Jeremy Bentham
Tue-17-Jan,MX5,Romania,,Kripton,,3,Centre
Tue-17-Jan,MX6,Keepy Uppies With The Min Kyoo Kim Kardashians,,Game of Throw-ins,,3,Jeremy Bentham
Wed-18-Jan,LS3,Bayern Neverlusen,,Heskeys,,1,Centre
Wed-18-Jan,LS4,Medi Oliver,,team1,,1,Jeremy Bentham
Wed-18-Jan,MS3,big head and co.,,Pitches Love Me,,2,Centre
Wed-18-Jan,MS4,Obi-Wan Kenobi-Nil,,Swag Boys,,2,Jeremy Bentham
Wed-18-Jan,MS9,Bantchester United,,50 Shades of O'Shea,,3,Centre
Wed-18-Jan,MS10,Teenage Mutant Ninja Skrtels,,Balotellitubbies,,3,Jeremy Bentham
Thu-19-Jan,LS11,Fire Breathing Rubber Duckies,,It's Just a Chicken Nugget,,1,Centre
Thu-19-Jan,LS12,Jonny Knoxville,,Ball of Duty,,1,Jeremy Bentham
Thu-19-Jan,US3,Mr. Hartley's Barmy Army,,"dunno yet, can we decide later ",,2,Centre
Thu-19-Jan,US4,Below Average FC,,My Imaginary Friends,,2,Jeremy Bentham
Thu-19-Jan,US11,Dyslexia Untied,,Gabes' Pumas,,3,Centre
Thu-19-Jan,US12,Soccer Lads,,They think it's Moldova,,3,Jeremy Bentham
Mon-23-Jan,US29,Winner of Match US25,,Winner of Match US26,,1,Centre
Mon-23-Jan,US30,Winner of Match US27,,Winner of Match US28,,2,Centre
Tue-24-Jan,LS15,Winner of Match LS13,,Winner of Match LS14,,1,Centre
Tue-24-Jan,US27,Winner of Upper School Group C,,Runner up of Upper School Group C,,2,Centre
Tue-24-Jan,US28,Winner of Upper School Group D,,Runner up of Upper School Group D,,3,Centre
Wed-25-Jan,MS13,Winner of Middle School Group A,,Runner up of Middle School Group A,,1,Centre
Wed-25-Jan,MS14,Winner of Middle School Group B,,Runner up of Middle School Group B,,2,Centre
Thu-26-Jan,US25,Winner of Upper School Group A,,Runner up of Upper School Group A,,1,Centre
Thu-26-Jan,US26,Winner of Upper School Group B,,Runner up of Upper School Group B,,2,Centre
Fri-27-Jan,LS13,Winner of Lower School Group A,,Runner up of Lower School Group A,,1,Centre
Fri-27-Jan,LS14,Winner of Lower School Group B,,Runner up of Lower School Group B,,2,Centre
Wed-01-Feb,MS15,Winner of Match MS13,,Winner of Match MS14,,1,Centre
Thu-02-Feb,US31,Winner of Match US29,,Winner of Match US30,,1,Centre
Thu-02-Feb,MX7,Winner of Mixed Group A,,Runner up of Mixed Group A,,2,Centre
